Hue_angle,chlorophyll_transfer
1177.00,95.00
1115.00,78.00
1149.00,80.00
974.00,55.00
917.00,53.00
907.00,50.00
1214.00,101.00
1126.00,81.00
1161.00,75.00
1032.00,61.00
929.00,49.00
925.00,51.00
1106.00,85.00
1240.00,94.00
1262.00,103.00
1209.00,96.00
979.00,68.00
974.00,54.00
994.00,87.00
1108.00,84.00
1213.00,96.00
1234.00,98.00
1155.00,79.00
990.00,60.00
941.00,53.00
939.00,50.00
1108.00,79.00
1123.00,74.00
950.00,66.00
918.00,59.00
926.00,47.00
957.00,54.00
1198.00,87.00
1112.00,76.00
977.00,57.00
1006.00,65.00
1011.00,67.00
1128.00,85.00
1066.00,66.00
1149.00,88.00
1172.00,72.00
938.00,56.00
889.00,48.00
913.00,47.00
926.00,47.00
1159.00,79.00
1092.00,63.00
1126.00,69.00
853.00,51.00
905.00,45.00
925.00,44.00
954.00,47.00
1197.00,83.00
1137.00,81.00
992.00,70.00
947.00,58.00
989.00,63.00
1156.00,79.00
1281.00,96.00
1164.00,93.00
965.00,55.00
991.00,72.00
1149.00,84.00
981.00,56.00
1023.00,58.00
943.00,48.00
927.00,45.00
898.00,47.00
1088.00,75.00
1044.00,56.00
1101.00,69.00
979.00,53.00
910.00,45.00
964.00,44.00
1002.00,62.00
1179.00,84.00
1230.00,121.00
1105.00,77.00
984.00,54.00
909.00,48.00
933.00,48.00
979.00,56.00
1128.00,75.00
1180.00,88.00
986.00,66.00
978.00,50.00
930.00,45.00
938.00,46.00
1055.00,57.00
982.00,57.00
915.00,59.00
912.00,55.00
916.00,47.00
927.00,49.00
1038.00,64.00
1030.00,54.00
957.00,48.00
974.00,53.00
979.00,47.00
1090.00,66.00
958.00,53.00
1063.00,86.00
1045.00,53.00
932.00,54.00
888.00,50.00
934.00,124.00
940.00,51.00
1011.00,55.00
1048.00,52.00
1064.00,53.00
862.00,43.00
895.00,46.00
938.00,51.00
960.00,44.00
1038.00,62.00
1013.00,56.00
951.00,67.00
930.00,53.00
995.00,56.00
1084.00,64.00
1120.00,85.00
1052.00,68.00
986.00,55.00
1004.00,52.00
